State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity,Arrival Unit,Min Price ,Modal Price,Max Price,Price Unit
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,05-07-23,-,0.2,Metric Tonnes,5130,5170,5210,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,05-07-23,0,1.9,Metric Tonnes,1190,1230,1270,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,05-07-23,0,2.4,Metric Tonnes,1160,1200,1240,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,05-07-23,0,0.3,Metric Tonnes,5750,5800,5850,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,06-07-23,-,0.1,Metric Tonnes,5170,5200,5230,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,06-07-23,0,2,Metric Tonnes,1180,1220,1260,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,06-07-23,0,2.5,Metric Tonnes,1150,1180,1210,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,06-07-23,0,0.2,Metric Tonnes,5800,5840,5880,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,07-07-23,-,0.1,Metric Tonnes,5300,5350,5400,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,07-07-23,0,1.9,Metric Tonnes,1050,1090,1130,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,07-07-23,0,2.5,Metric Tonnes,920,950,980,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,07-07-23,0,0.2,Metric Tonnes,5800,5830,5860,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,08-07-23,-,0.1,Metric Tonnes,5170,5190,5210,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,08-07-23,0,1.9,Metric Tonnes,1170,1200,1230,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,08-07-23,0,2.3,Metric Tonnes,880,910,940,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,08-07-23,0,0.1,Metric Tonnes,6000,6050,6100,Rs./Quintal
